#,Building,Images,Height,Floors,Building type,Year
1,Willis Tower,89,"1,451 ft",108,skyscraper,1974
2,Trump International Hotel & Tower,2511,"1,388 ft",98,skyscraper,2009
3,Aon Center,67,"1,136 ft",83,skyscraper,1973
4,875 North Michigan Avenue,106,"1,128 ft",100,skyscraper,1969
5,Franklin Center North Tower,19,"1,007 ft",60,skyscraper,1989
6,Two Prudential Plaza,27,995 ft,64,skyscraper,1990
7,311 South Wacker,41,961 ft,65,skyscraper,1990
8,900 North Michigan,35,871 ft,66,skyscraper,1989
9,Water Tower Place,33,859 ft,74,skyscraper,1976
10,Aqua,563,859 ft,86,skyscraper,2009
11,Chase Tower,32,850 ft,60,skyscraper,1969
12,Park Tower,39,844 ft,67,skyscraper,2000
13,The Legacy at Millennium Park,416,819 ft,73,skyscraper,2010
14,300 North LaSalle,440,785 ft,60,skyscraper,2009
15,Three First National Plaza,6,767 ft,57,skyscraper,1981
16,Chicago Title & Trust Building,22,756 ft,50,skyscraper,1992
17,150 North Riverside,5,752 ft,54,skyscraper,2017
18,Blue Cross-Blue Shield Tower,283,743 ft,57,skyscraper,2010
19,River Point,3,730 ft,52,skyscraper,2017
20,One Museum Park,600,726 ft,62,skyscraper,2009
21,Olympia Centre,13,725 ft,63,skyscraper,1986
22,AMA Plaza,21,695 ft,52,skyscraper,1973
23,Waldorf Astoria Chicago,281,686 ft,60,skyscraper,2010
24,111 South Wacker,225,681 ft,51,skyscraper,2005
25,181 West Madison,14,680 ft,50,skyscraper,1990
26,Hyatt Center,265,679 ft,48,skyscraper,2005
27,One Magnificent Mile,23,673 ft,57,skyscraper,1983
28,340 on the Park,615,672 ft,64,skyscraper,2007
29,United Building,21,668 ft,49,skyscraper,1992
30,UBS Tower,22,652 ft,50,skyscraper,2001
31,Richard J. Daley Center,9,648 ft,32,skyscraper,1965
32,55 East Erie,169,647 ft,56,skyscraper,2004
33,Lake Point Tower,96,645 ft,70,skyscraper,1968
34,River East Center,34,644 ft,58,skyscraper,2001
35,Grand Plaza Apartments,55,641 ft,57,skyscraper,2003
36,155 North Wacker,105,638 ft,45,skyscraper,2009
37,Leo Burnett Building,12,635 ft,46,skyscraper,1989
38,The Heritage at Millennium Park,241,631 ft,57,skyscraper,2005
39,OneEleven,593,630 ft,60,skyscraper,2014
40,NBC Tower,31,627 ft,37,skyscraper,1989
41,353 North Clark,139,624 ft,44,skyscraper,2009
42,Millennium Centre,115,610 ft,58,skyscraper,2003
43,Chicago Place,26,608 ft,49,skyscraper,1991
44,Chicago Board of Trade,21,605 ft,44,skyscraper,1930
45,One Prudential Plaza,15,601 ft,41,skyscraper,1955
46,CNA Plaza,23,601 ft,44,skyscraper,1972
47,Heller International Building,11,600 ft,45,skyscraper,1992
48,Madison Plaza,5,599 ft,44,skyscraper,1982
49,The Grant,237,595 ft,54,skyscraper,2010
50,1000 Lake Shore Plaza,8,590 ft,55,skyscraper,1964
51,The Clare at Water Tower,215,589 ft,52,skyscraper,2008
52,Citigroup Center,12,588 ft,42,skyscraper,1987
53,Optima Signature,4,588 ft,54,skyscraper,2017
54,Marina City II,11,588 ft,61,skyscraper,1964
55,Marina City I,8,588 ft,61,skyscraper,1964
56,Mid-Continental Plaza,10,583 ft,49,skyscraper,1972
57,Crain Communications Building,22,582 ft,41,skyscraper,1983
58,474 North Lake Shore Drive,10,581 ft,61,skyscraper,1990
59,Citadel Center,86,580 ft,39,skyscraper,2003
60,The Fordham,65,574 ft,52,skyscraper,2003
61,190 South LaSalle,13,573 ft,40,skyscraper,1987
62,One South Dearborn,151,571 ft,39,skyscraper,2005
63,Axis,8,570 ft,58,skyscraper,1986
64,Loews Hotel/North Water Apartments,3,569 ft,50,skyscraper,2015
65,Chicago Temple Building,25,568 ft,23,skyscraper,1924
66,Palmolive Building,6,565 ft,37,skyscraper,1929
67,30 East Huron,6,560 ft,56,skyscraper,1983
68,Boeing World Headquarters,23,560 ft,36,skyscraper,1990
69,The Parkshore,3,556 ft,56,skyscraper,1991
70,North Harbor Tower,10,556 ft,55,skyscraper,1988
71,Civic Opera Building,28,555 ft,45,skyscraper,1929
72,Atwater Apartments,163,554 ft,55,skyscraper,2009
73,Newberry Plaza,5,553 ft,53,skyscraper,1974
74,Michigan Plaza South,6,553 ft,46,skyscraper,1985
75,30 North LaSalle,2,553 ft,44,skyscraper,1975
76,Pittsfield Building,12,551 ft,38,skyscraper,1927
77,Harbor Point,13,550 ft,54,skyscraper,1975
78,One South Wacker,6,550 ft,40,skyscraper,1982
79,Kluczynski Federal Building,5,545 ft,45,skyscraper,1975
80,Park Millennium,31,544 ft,57,skyscraper,2002
81,AMLI River North,2,543 ft,50,skyscraper,2013
82,Franklin Center South Tower,4,538 ft,35,skyscraper,1992
83,The Pinnacle,115,535 ft,48,skyscraper,2004
84,LaSalle Bank Building,13,535 ft,45,skyscraper,1934
85,Park Place Tower,7,531 ft,56,skyscraper,1971
86,One North LaSalle,12,530 ft,48,skyscraper,1930
87,Elysées Condominiums,6,529 ft,56,skyscraper,1973
88,River Plaza,11,524 ft,56,skyscraper,1977
89,35 East Wacker Drive,17,523 ft,40,skyscraper,1927
90,Kemper Building,9,522 ft,41,skyscraper,1962
91,Mather Tower,82,521 ft,41,skyscraper,1928
92,10 South Wacker,2,520 ft,40,skyscraper,1987
93,30 South Wacker,4,520 ft,40,skyscraper,1983
94,The Columbian,259,517 ft,47,skyscraper,2008
95,191 North Wacker,29,516 ft,37,skyscraper,2002
96,401 East Ontario,7,515 ft,51,skyscraper,1990
97,One Financial Place,13,515 ft,39,skyscraper,1985
98,The Streeter,267,514 ft,50,skyscraper,2007
99,"600 Lake Shore Drive, South Tower",151,513 ft,47,skyscraper,2009
100,Park Tower Condominiums,15,513 ft,54,skyscraper,1973
101,LaSalle-Wacker Building,18,512 ft,41,skyscraper,1930
102,Harris Bank Addition II,2,510 ft,38,skyscraper,1974
103,321 North Clark,10,510 ft,35,skyscraper,1987
104,215 West Washington,69,509 ft,50,skyscraper,2010
105,400 East Ohio Street,7,505 ft,50,skyscraper,1982
106,Carbide & Carbon Building,29,503 ft,37,skyscraper,1929
107,One Superior Place,10,502 ft,52,skyscraper,1999
108,10 South LaSalle,5,501 ft,37,skyscraper,1986
109,120 North LaSalle,9,501 ft,39,skyscraper,1992
110,The Tides,183,500 ft,51,skyscraper,2008
111,200 South Wacker Drive,8,500 ft,41,skyscraper,1981
112,Parkview West,324,498 ft,49,skyscraper,2008
113,55 West Monroe,7,495 ft,41,skyscraper,1980
114,Ontario Place,5,495 ft,49,skyscraper,1983
115,The Ritz-Carlton Residences Chicago Magnificent Mile,8,495 ft,41,skyscraper,2012
116,50 East Chestnut,209,495 ft,40,skyscraper,2008
117,One North Franklin,4,494 ft,36,skyscraper,1992
118,Wolf Point West,4,493 ft,48,skyscraper,2016
119,235 West Van Buren,117,490 ft,46,skyscraper,2010
120,The Bristol,10,488 ft,42,skyscraper,2000
121,MILA Tower,5,488 ft,41,skyscraper,2016
122,333 Wacker Drive,26,487 ft,36,skyscraper,1983
123,AT&T 10 South Canal,5,485 ft,28,skyscraper,1971
124,Plaza 440,5,480 ft,49,skyscraper,1991
125,33 North LaSalle,7,479 ft,38,skyscraper,1930
126,Moment,,477 ft,45,skyscraper,2016
127,Bankers Building,9,476 ft,41,skyscraper,1927
128,Metropolitan Tower,19,475 ft,37,skyscraper,1924
129,Cook County Administration Building,3,475 ft,35,skyscraper,1964
130,American Furniture Mart,15,474 ft,29,skyscraper,1926
131,Hotel InterContinental,71,471 ft,42,skyscraper,1929
132,73 East Lake,9,471 ft,42,skyscraper,2014
133,City Place,3,470 ft,40,skyscraper,1990
134,Roosevelt University Wabash Tower,4,469 ft,32,skyscraper,2012
135,Columbus Plaza,4,468 ft,47,skyscraper,1980
136,The Sterling,20,466 ft,50,skyscraper,2001
137,The Regatta,329,466 ft,45,skyscraper,2007
138,500 North Lake Shore Drive,19,465 ft,45,skyscraper,2013
139,Coast at Lakeshore East,1,464 ft,45,skyscraper,2013
140,Tribune Tower,49,463 ft,34,skyscraper,1925
141,200 North Dearborn Apartments,3,463 ft,47,skyscraper,1989
142,Randolph Tower,3,463 ft,45,skyscraper,1929
143,Presidential Towers I,2,461 ft,49,skyscraper,1985
144,Presidential Towers III,3,461 ft,49,skyscraper,1985
145,Presidential Towers IV,6,461 ft,49,skyscraper,1985
146,Presidential Towers II,3,461 ft,49,skyscraper,1985
147,The New York,8,461 ft,49,skyscraper,1986
148,Chicago Marriott Downtown,2,460 ft,46,skyscraper,1978
149,The Residences at Grand Plaza,39,458 ft,39,skyscraper,2003
150,600 North Fairbanks,199,458 ft,41,skyscraper,2008
151,401 North Michigan Avenue,14,457 ft,35,skyscraper,1965
152,Swissôtel Chicago,21,457 ft,45,skyscraper,1989
153,Kingsbury Plaza,196,456 ft,47,skyscraper,2007
154,400 North LaSalle,94,454 ft,45,skyscraper,2003
155,Bank of America Plaza,128,453 ft,29,skyscraper,2003
156,"600 Lake Shore Drive, North Tower",147,453 ft,41,skyscraper,2008
157,Roanoke Building,2,452 ft,37,skyscraper,1925
158,Riverbend Condominiums,30,451 ft,38,skyscraper,2002
159,The Shoreham,132,450 ft,47,skyscraper,2005
160,Eugenie Terrace on the Park,5,450 ft,44,skyscraper,1987
161,Fifth Third Center,6,450 ft,35,skyscraper,1971
162,Hubbard Place,,449 ft,43,skyscraper,2013
163,Oakwood 200 Squared,93,449 ft,42,skyscraper,2011
164,444 North Michigan,5,445 ft,36,skyscraper,1976
165,300 South Wacker,3,445 ft,36,skyscraper,1971
166,Marriott Marquis McCormick Place,,444 ft,40,skyscraper,2017
167,Optima Chicago Center,13,443 ft,42,skyscraper,2013
168,Ann & Robert H. Lurie Children's Hospital of Chicago,37,442 ft,24,skyscraper,2012
169,Lincoln Park 2550,27,442 ft,39,skyscraper,2012
170,1001 South State,,440 ft,41,skyscraper,2016
171,Wrigley Building,31,438 ft,27,skyscraper,1922
172,Willoughby Tower,13,438 ft,38,skyscraper,1929
173,123 North Wacker,4,435 ft,30,skyscraper,1986
174,Silver Tower,60,433 ft,39,skyscraper,2010
