#,Building,Images,Height,Floors,Building type,Year,Status
1,Hancock Place,42,790 ft,60,skyscraper,1976,
2,Prudential Tower,27,750 ft,52,skyscraper,1964,
3,Millennium Tower,5,685 ft,60,skyscraper,2016,
4,Federal Reserve Bank Building,14,614 ft,32,skyscraper,1977,
5,BNY Mellon Center at One Boston Place,17,601 ft,41,skyscraper,1970,
6,One International Place,13,600 ft,46,skyscraper,1987,
7,100 Federal Street,4,591 ft,37,skyscraper,1971,
8,One Financial Center,10,590 ft,46,skyscraper,1983,
9,111 Huntington Avenue,19,554 ft,36,skyscraper,2002,
10,Two International Place,9,538 ft,35,skyscraper,1992,
11,One Post Office Square,7,525 ft,41,skyscraper,1981,
12,One Federal Street,3,520 ft,38,skyscraper,1975,
13,Exchange Place,7,510 ft,40,skyscraper,1984,
14,60 State Street,11,509 ft,38,skyscraper,1977,
15,One Beacon Street,11,507 ft,37,skyscraper,1971,
16,State Street Financial Center,15,503 ft,36,skyscraper,2003,
17,28 State Street,5,500 ft,40,skyscraper,1969,
18,Marriott&#039;s Custom House,12,496 ft,32,skyscraper,1915,
19,John Hancock Building,11,495 ft,26,skyscraper,1947,
20,33 Arch Street,7,477 ft,33,skyscraper,2004,
21,225 Franklin Street,4,477 ft,33,skyscraper,1966,
22,The Ritz-Carlton Boston Common,17,475 ft,38,skyscraper,2001,
23,125 High Street,15,452 ft,30,skyscraper,1991,
24,100 Summer Street,3,450 ft,32,skyscraper,1974,
25,Avalon North Station,,449 ft,38,skyscraper,2016,
26,The Ritz-Carlton Residences,18,445 ft,36,skyscraper,2001,
27,McCormack Building,2,401 ft,22,skyscraper,1975,
28,Keystone Building,5,400 ft,32,skyscraper,1971,
29,Harbor Towers I,8,400 ft,40,skyscraper,1971,
30,One Devonshire Place,8,396 ft,42,skyscraper,1983,
31,Harbor Towers II,9,396 ft,40,skyscraper,1971,
32,Leverett Saltonstall Building,6,396 ft,22,skyscraper,1965,
33,The Westin Copley Place,8,395 ft,38,skyscraper,1983,
34,Atlantic Wharf,12,395 ft,32,skyscraper,2011,
35,100 High Street,1,394 ft,28,skyscraper,1988,
36,75 State Street,4,390 ft,31,skyscraper,1988,
37,John F. Kennedy Federal Building,19,387 ft,26,skyscraper,1967,
38,Boston Marriott Copley Place,5,382 ft,39,skyscraper,1984,
39,101 Federal Street,4,381 ft,31,skyscraper,1988,
40,Four Longfellow Place,,381 ft,38,skyscraper,1971,
41,One Longfellow Place,,381 ft,38,skyscraper,1976,
42,Christian Science Administration Building,11,370 ft,23,skyscraper,1973,
43,Pierce Boston,,367 ft,30,skyscraper,2018,
44,Federal Building & J.W. McCormack Post Office,1,345 ft,22,skyscraper,1931,
45,Ellison Building,1,342 ft,24,skyscraper,1992,
46,The Clarendon,11,336 ft,32,skyscraper,2009,
47,101 Huntington Avenue,5,336 ft,25,skyscraper,1972,
48,500 Boylston Street,10,330 ft,25,skyscraper,1985,
49,Suffolk County Courthouse,2,330 ft,19,skyscraper,1939,
50,260 Franklin Street,2,323 ft,23,high-rise building,1985,
51,Leonard P. Zakim Bunker Hill Bridge,3,322 ft,-,bridge,2003,
52,Jamaicaway Towers,,320 ft,30,high-rise building,-,
53,Sheraton Boston Hotel South Tower,7,310 ft,29,high-rise building,1964,
54,Sheraton Boston Hotel North Tower,3,310 ft,29,high-rise building,-,
55,W Boston Hotel & Residences,7,301 ft,26,high-rise building,2009,
56,145 High Street,4,301 ft,21,high-rise building,1991,
57,125 Summer Street,5,300 ft,22,high-rise building,1989,
58,The Kensington,,299 ft,27,high-rise building,2013,
59,The Landmark at Federal,3,298 ft,24,high-rise building,1930,
60,50 Post Office Square,2,298 ft,20,high-rise building,1947,
61,Center for Life Science Boston,2,298 ft,18,high-rise building,2008,
62,Liberty Mutual Tower,1,290 ft,22,high-rise building,2013,
63,Radian Boston,1,290 ft,26,high-rise building,2014,
64,Logan Airport Control Tower,1,285 ft,-,airport tower,1973,
65,30 Dalton Street Residences,,285 ft,27,high-rise building,2016,
66,265 Franklin Street,2,283 ft,21,high-rise building,1984,
67,99 Summer Street,2,282 ft,20,high-rise building,1986,
68,Tree House Residence Hall,,280 ft,21,high-rise building,2012,
69,101 Arch Street,2,276 ft,20,high-rise building,1988,
70,Archstone Boston Common,6,275 ft,26,high-rise building,2006,
71,10 St. James Avenue,6,272 ft,19,high-rise building,2001,
72,Education Schools Tower,,265 ft,17,high-rise building,1964,
73,222 Berkeley Street,6,259 ft,22,high-rise building,1991,
74,The Metropolitan Boston,,258 ft,23,high-rise building,2004,
75,Hilton Boston Back Bay,3,254 ft,25,high-rise building,1993,
76,WBZ-TV Studio Transmitter,,253 ft,-,mast (framework),-,
77,The Newbry,4,250 ft,10,high-rise building,1941,
78,50 Northern Avenue,,247 ft,18,high-rise building,2013,
79,New Old South Church,10,246 ft,-,church,1875,
80,State Street Trust Building,4,245 ft,21,high-rise building,1930,
81,888 Boylston Street,,242 ft,17,high-rise building,2016,
82,InterContinental Hotel and Residences Boston,11,237 ft,20,high-rise building,2006,
83,Trinity Place,4,236 ft,18,high-rise building,2000,
84,Church of the Covenant,2,236 ft,-,church,1867,
85,One Marina Park Drive,,235 ft,18,high-rise building,2010,
86,Manulife Tower,4,235 ft,14,high-rise building,2003,
87,Mother Church Extension,20,226 ft,4,church,1906,
88,World Trade Center West,6,225 ft,17,high-rise building,2002,
89,Bunker Hill Monument,4,221 ft,-,monument,1843,
90,Park Street Church,8,217 ft,-,church,1810,
91,World Trade Center East,1,215 ft,16,high-rise building,2000,
92,The Basilica,1,215 ft,-,church,1878,
93,Colonnade Residences,7,213 ft,20,high-rise building,2003,
94,Trinity Church,22,211 ft,-,church,1877,
95,GrandMarc Residence Hall,,198 ft,17,high-rise building,2015,
96,Landmark Center,,197 ft,12,high-rise building,1928,
97,Transmission Tower,,195 ft,-,mast (framework),-,
98,Arlington Street Church,2,190 ft,-,church,1861,
99,101 Seaport,2,190 ft,17,high-rise building,2015,
100,The Viridian,,189 ft,18,high-rise building,2015,
101,One Western Avenue,,188 ft,18,high-rise building,2003,
102,50 Staniford Street,,185 ft,10,high-rise building,1974,
103,Old South Meeting House,4,183 ft,-,church,1729,
104,Nathan R. Miller Hall,,182 ft,19,high-rise building,2003,
105,Rowes Wharf,3,182 ft,16,high-rise building,1987,
106,Seaport Hotel,1,180 ft,17,high-rise building,1998,
107,One Charles,4,179 ft,19,high-rise building,2004,
108,The Harlo,,178 ft,17,high-rise building,2017,
109,First Baptist Church,3,176 ft,-,church,1871,
110,Old North Church,3,175 ft,-,church,1745,
111,Church of the Advent,,172 ft,-,church,1894,
112,Residences at Mandarin Oriental,3,170 ft,13,high-rise building,2008,
113,The Arlington,2,167 ft,14,high-rise building,1926,
114,TD Banknorth Garden,1,162 ft,10,stadium,1995,
115,Nine Hawthorne Place,1,160 ft,16,high-rise building,-,
116,Two Hawthorne Place,1,160 ft,16,high-rise building,-,
117,695 Atlantic Avenue,1,157 ft,11,high-rise building,1900,
118,Parkside West,3,155 ft,18,high-rise building,1989,
