#,Building,Images,Height,Floors,Building type,Year,Status
1,JPMorgan Chase Tower,38,"1,002 ft",75,skyscraper,1982,
2,Wells Fargo Plaza,24,992 ft,71,skyscraper,1983,
3,Williams Tower,37,901 ft,64,skyscraper,1983,
4,Bank of America Center,29,780 ft,56,skyscraper,1983,
5,Heritage Plaza,18,762 ft,53,skyscraper,1987,
6,Enterprise Plaza,20,756 ft,55,skyscraper,1980,
7,609 Main,46,752 ft,48,skyscraper,2017,
8,Centerpoint Energy Plaza,32,741 ft,47,skyscraper,1974,
9,1600 Smith Street,27,732 ft,53,skyscraper,1984,
10,Fulbright Tower,18,725 ft,52,skyscraper,1982,
11,One Shell Plaza,32,714 ft,50,skyscraper,1971,
12,1400 Smith Street,27,691 ft,50,skyscraper,1983,
13,Three Allen Center,11,685 ft,50,skyscraper,1980,
14,LyondellBassell Tower,16,678 ft,48,skyscraper,1978,
15,First City Tower,17,662 ft,49,skyscraper,1981,
16,San Felipe Plaza,10,646 ft,45,skyscraper,1984,
17,BG Group Place,186,630 ft,46,skyscraper,2011,
18,800 Bell Street,21,606 ft,44,skyscraper,1963,
19,1500 Louisiana Street,37,600 ft,40,skyscraper,2002,
20,Transmission Tower,,600 ft,-,mast (wired),-,
21,American General Center,11,590 ft,42,skyscraper,1983,
22,Transmission Tower,,582 ft,-,mast (wired),-,
23,2 Houston Center,11,579 ft,40,skyscraper,1974,
24,Marathon Oil Tower,15,562 ft,41,skyscraper,1983,
25,1415 Louisiana,16,550 ft,43,skyscraper,1983,
26,KBR Tower,10,550 ft,40,skyscraper,1973,
27,Memorial Hermann Tower,48,542 ft,33,skyscraper,2009,
28,Transmission Tower,,540 ft,-,mast (wired),-,
29,Total Plaza,11,529 ft,35,skyscraper,1971,
30,Transmission Tower,,525 ft,-,mast (wired),-,
31,Pennzoil Place II,3,523 ft,36,skyscraper,1975,
32,Pennzoil Tower,8,523 ft,36,skyscraper,1975,
33,Two Allen Center,9,521 ft,36,skyscraper,1978,
34,1000 Main,20,518 ft,36,skyscraper,2003,
35,Methodist Outpatient Care Center,31,512 ft,26,skyscraper,2010,
36,The Huntingdon,11,503 ft,34,skyscraper,1984,
37,Transmission Tower,,502 ft,-,mast (wired),-,
38,Kinder Morgan Building,13,502 ft,33,skyscraper,1963,
39,One Park Place,182,501 ft,37,skyscraper,2009,
40,Transmission Tower,,499 ft,-,mast (wired),-,
41,Market Square Tower,18,498 ft,40,skyscraper,2017,
42,The Post Oak,8,496 ft,36,skyscraper,2018,
43,5 Greenway Plaza,6,495 ft,31,skyscraper,1973,
44,Hess Tower,307,490 ft,29,skyscraper,2010,
45,Transmission Tower,,485 ft,-,mast (wired),-,
46,Transmission Tower,,480 ft,-,mast (wired),-,
47,Five Oaks Place,19,477 ft,30,skyscraper,2016,
48,The O&#039;Quinn Medical Tower at St. Luke&#039;s,15,477 ft,29,skyscraper,1990,
49,2929 Weslayan,9,468 ft,40,skyscraper,2015,
50,717 Texas,18,462 ft,34,skyscraper,2003,
51,Texas Children&#039;s Hospital Legacy Tower,5,457 ft,25,skyscraper,2013,
52,Motiva Plaza,8,452 ft,34,skyscraper,1972,
53,Four Leaf Towers II,2,444 ft,40,skyscraper,1982,
54,Four Leaf Towers I,3,444 ft,40,skyscraper,1982,
55,11 Greenway Plaza,15,441 ft,31,skyscraper,1979,
56,El Paso Tower,10,441 ft,31,skyscraper,1978,
57,Phoenix Tower,7,437 ft,34,skyscraper,1984,
58,Memorial Hermann Medical Plaza,32,430 ft,28,skyscraper,2007,
59,712 Main,23,428 ft,36,skyscraper,1929,
60,The Spires,4,427 ft,40,skyscraper,1983,
61,1330 Post Oak Boulevard,3,420 ft,30,skyscraper,1983,
62,M.D. Anderson Cancer Center - Mid-Campus Building One,29,415 ft,25,skyscraper,2012,
63,Niels Esperson Building,13,410 ft,32,skyscraper,1927,
64,One City Centre,6,410 ft,32,skyscraper,1961,
65,Bob Lanier Public Works Building,10,410 ft,27,skyscraper,1968,
66,2727 Kirby,65,405 ft,30,skyscraper,2009,
67,Hyatt Regency Houston,30,401 ft,30,skyscraper,1972,
68,The Mercer,8,401 ft,30,skyscraper,2003,
69,Marriott Marquis Houston,28,395 ft,30,skyscraper,2016,
70,The Parklane,6,390 ft,36,skyscraper,1983,
71,Five Post Oak Park,5,389 ft,28,skyscraper,1983,
72,HPD Edward A. Thomas Building,6,386 ft,28,skyscraper,1967,
73,One Westlake Park,9,386 ft,28,skyscraper,1982,
74,Harris County Civil Justice Center,28,378 ft,18,skyscraper,2005,
75,5 Houston Center,17,376 ft,27,skyscraper,2002,
76,1301 Fannin,7,375 ft,25,skyscraper,1984,
77,919 Milam,10,369 ft,24,skyscraper,1956,
78,Smith Tower,1,367 ft,26,skyscraper,1988,
79,Lyric Centre,13,365 ft,26,skyscraper,1984,
80,Aris at Market Square,10,362 ft,32,skyscraper,2017,
81,Warwick Towers,10,361 ft,30,skyscraper,1983,
82,The Royalton at River Oaks,13,360 ft,33,skyscraper,2003,
83,Camden Post Oak,9,360 ft,33,skyscraper,2003,
84,Montage,18,358 ft,29,skyscraper,2009,
85,Mosaic,20,358 ft,29,skyscraper,2007,
86,Energy Center Four,10,355 ft,22,skyscraper,2016,
87,Wells Fargo Tower,2,351 ft,25,skyscraper,1983,
88,BHP Billiton Tower,2,351 ft,25,skyscraper,1983,
89,Transmission Tower,,351 ft,-,mast (framework),-,
90,Dominion Post Oak,7,351 ft,31,skyscraper,2004,
91,Harris County Criminal Justice Center,6,350 ft,21,skyscraper,1999,
92,TCH West Tower,5,348 ft,20,skyscraper,2001,
93,Sage Plaza,3,347 ft,25,skyscraper,1983,
94,Hilcorp Energy Tower,16,346 ft,23,skyscraper,2016,
95,University Center Tower,2,345 ft,25,skyscraper,1974,
96,811 Louisiana,2,341 ft,26,skyscraper,1972,
97,Catalyst,20,340 ft,28,skyscraper,2018,
98,Park West Tower I,16,337 ft,25,skyscraper,1983,
99,Wortham Tower,8,337 ft,25,skyscraper,1965,
100,Transmission Tower,,336 ft,-,mast (wired),-,
101,George Bush Intercontinental Airport Control Tower,,336 ft,-,airport tower,1969,
102,The Residences at Kirby Collection,8,336 ft,25,skyscraper,2017,
103,The Mark,2,334 ft,30,skyscraper,2001,
104,Galleria Tower I,6,333 ft,25,skyscraper,1974,
