#,Building,Images,Height,Floors,Building type,Year,Status
1,Wilshire Grand Center,3,"1,099 ft",73,skyscraper,2017,
2,US Bank Tower,73,"1,018 ft",73,skyscraper,1989,
3,Aon Center,47,858 ft,62,skyscraper,1973,
4,Two California Plaza,35,750 ft,52,skyscraper,1992,
5,Gas Company Tower,44,749 ft,52,skyscraper,1991,
6,Bank of America Plaza,30,735 ft,55,skyscraper,1974,
7,777 Tower,39,725 ft,52,skyscraper,1991,
8,Wells Fargo Tower,13,723 ft,54,skyscraper,1983,
9,Figueroa at Wilshire,38,717 ft,53,skyscraper,1990,
10,City National Tower,16,699 ft,52,skyscraper,1972,
11,Paul Hastings Tower,25,699 ft,52,skyscraper,1972,
12,L.A. Live Hotel & Condominiums,15,667 ft,54,skyscraper,2010,
13,Citigroup Center,25,625 ft,48,skyscraper,1979,
14,611 West 6th Street,17,620 ft,42,skyscraper,1968,
15,One California Plaza,12,578 ft,42,skyscraper,1985,
16,Century Plaza Tower II,8,571 ft,44,skyscraper,1975,
17,Century Plaza Tower I,5,571 ft,44,skyscraper,1975,
18,KPMG Tower,17,560 ft,45,skyscraper,1983,
19,Ernst & Young Plaza,19,534 ft,42,skyscraper,1985,
20,SunAmerica Center,19,533 ft,39,skyscraper,1990,
21,865 South Figueroa,17,517 ft,39,skyscraper,1990,
22,Union Bank Plaza,18,516 ft,40,skyscraper,1968,
23,10 Universal City Plaza,5,506 ft,36,skyscraper,1984,
24,1100 Wilshire,12,496 ft,35,skyscraper,1987,
25,Fox Plaza,9,492 ft,34,skyscraper,1987,
26,MGM Tower,15,491 ft,35,skyscraper,2003,
27,The Century,,478 ft,42,skyscraper,2009,
28,ARCO Tower,17,462 ft,33,skyscraper,1989,
29,Ten Thousand,,460 ft,40,skyscraper,2017,
30,Los Angeles City Hall,31,454 ft,27,skyscraper,1928,
31,Equitable Life Building,12,454 ft,34,skyscraper,1969,
32,AT&T Center,13,452 ft,32,skyscraper,1965,
33,AT&T Switching Center,12,448 ft,17,skyscraper,1961,
34,5900 Wilshire,7,444 ft,32,skyscraper,1971,
35,Metropolis Residential Tower I,,442 ft,38,skyscraper,2016,
36,Warner Center Plaza III,6,415 ft,25,skyscraper,1991,
37,MCI Center,10,414 ft,31,skyscraper,1973,
38,MTA Building,10,398 ft,26,skyscraper,1995,
39,1900 Avenue of the Stars,7,398 ft,27,skyscraper,1969,
40,WaterMarke Tower,9,395 ft,35,skyscraper,2009,
41,One Wilshire,10,395 ft,30,skyscraper,1966,
42,Westin Bonaventure,37,388 ft,35,skyscraper,1976,
43,801 Tower,19,381 ft,24,skyscraper,1992,
44,LEVEL Furnished Living,,375 ft,33,skyscraper,2015,
45,400 South Hope,10,375 ft,26,skyscraper,1982,
46,Hilton Los Angeles/Universal City,6,367 ft,24,skyscraper,1989,
47,Roybal Federal Building,4,366 ft,22,skyscraper,1991,
48,Beaudry Center,6,365 ft,29,skyscraper,1986,
49,The Evian,2,363 ft,29,skyscraper,1989,
50,10100 Santa Monica Boulevard,1,363 ft,26,skyscraper,1971,
51,5670 Wilshire Boulevard,5,363 ft,24,skyscraper,1967,
52,Oppenheimer Tower,3,363 ft,24,skyscraper,1970,
53,Center West,6,363 ft,23,skyscraper,1990,
54,Figueroa Tower,27,356 ft,24,skyscraper,1989,
55,Grand Tower,4,353 ft,28,skyscraper,1989,
56,550 South Hope Street,22,351 ft,28,skyscraper,1991,
57,Bunker Hill Tower,13,349 ft,32,skyscraper,1968,
58,City National Bank Building,8,348 ft,24,skyscraper,1968,
59,10960 Wilshire Boulevard,6,347 ft,24,skyscraper,1971,
60,Biltmore Tower,11,340 ft,25,skyscraper,1987,
61,Apex Tower I,7,332 ft,28,skyscraper,2011,
62,The Wilshire,5,328 ft,27,high-rise building,1990,
63,Eighteen Eighty Eight Building,2,328 ft,21,high-rise building,1971,
64,The Tower,13,327 ft,24,high-rise building,1988,
65,Atelier,,317 ft,33,high-rise building,2017,
66,Mercury,5,312 ft,22,high-rise building,1963,
67,The Vermont I,,307 ft,29,high-rise building,2014,
68,6300 Wilshire Boulevard,6,307 ft,21,high-rise building,1973,
69,Century Park Plaza,6,304 ft,23,high-rise building,1972,
70,Barrington Plaza A,4,300 ft,25,high-rise building,1961,
71,World Savings Center,6,300 ft,24,high-rise building,1983,
72,Chase Plaza,8,300 ft,22,high-rise building,1986,
73,Sunset Vine Tower,2,297 ft,19,high-rise building,1964,
74,Beverly West Residences,,296 ft,22,high-rise building,2009,
75,Wilshire Financial Tower,3,294 ft,21,high-rise building,1962,
76,The Californian on Wilshire,36,290 ft,23,high-rise building,2006,
77,915 Wilshire,7,288 ft,23,high-rise building,1980,
78,Crown Towers,4,278 ft,22,high-rise building,1964,
79,LAX Control Tower,1,277 ft,22,airport tower,1996,
80,1901 Avenue of the Stars,4,272 ft,19,high-rise building,1968,
81,Hotel Indigo Los Angeles Downtown,,271 ft,18,high-rise building,2017,
82,811 Wilshire Boulevard,5,269 ft,22,high-rise building,1960,
83,SB Tower,2,267 ft,20,high-rise building,1959,
84,InterContinental Los Angeles Century City,2,266 ft,18,high-rise building,1988,
85,Eastern Columbia Building,12,264 ft,13,high-rise building,1929,
86,Evo South,9,263 ft,23,high-rise building,2008,
87,Lee Tower Building,,261 ft,21,high-rise building,1961,
88,Wilshire Federal Building,6,261 ft,17,high-rise building,1969,
89,The Mirabella,5,260 ft,22,high-rise building,1982,
90,8th & Hope,,260 ft,22,high-rise building,2014,
91,The Wilshire House,2,258 ft,20,high-rise building,1984,
92,Los Angeles California LDS Temple,3,258 ft,-,temple,1955,
93,Central Civil West Courthouse,5,257 ft,19,high-rise building,1972,
94,United States Courthouse,6,257 ft,18,high-rise building,1940,
