#,Building,Images,Height,Floors,Building type,Year,Status
1,One World Trade Center,416,"1,776 ft",104,skyscraper,2014,
2,432 Park Avenue,128,"1,398 ft",96,skyscraper,2015,
3,Empire State Building,179,"1,250 ft",102,skyscraper,1931,
4,Bank of America Tower,436,"1,200 ft",58,skyscraper,2009,
5,Chrysler Building,108,"1,046 ft",77,skyscraper,1930,
6,New York Times Tower,311,"1,046 ft",52,skyscraper,2007,
7,One57,78,"1,005 ft",75,skyscraper,2014,
8,Four World Trade Center,159,975 ft,72,skyscraper,2014,
9,70 Pine Street,33,952 ft,66,skyscraper,1932,
10,30 Park Place,97,937 ft,67,skyscraper,2016,
11,The Trump Building,59,927 ft,70,skyscraper,1930,
12,601 Lexington,72,915 ft,59,skyscraper,1977,
13,10 Hudson Yards,110,878 ft,52,skyscraper,2016,
14,New York by Gehry at Eight Spruce Street,304,870 ft,76,skyscraper,2011,
15,Trump World Tower,45,861 ft,72,skyscraper,2001,
16,Comcast Building,104,850 ft,69,skyscraper,1933,
17,56 Leonard Street,185,821 ft,57,skyscraper,2016,
18,CitySpire Center,25,814 ft,75,skyscraper,1987,
19,One Chase Manhattan Plaza,40,813 ft,60,skyscraper,1961,
20,4 Times Square,64,809 ft,48,skyscraper,1999,
21,MetLife Building,50,808 ft,59,skyscraper,1963,
22,Bloomberg Tower,142,806 ft,54,skyscraper,2005,
23,Woolworth Building,71,792 ft,57,skyscraper,1913,
24,One Worldwide Plaza,22,778 ft,50,skyscraper,1989,
25,50 West,97,778 ft,64,skyscraper,2017,
26,Madison Square Park Tower,44,777 ft,64,skyscraper,2017,
27,Carnegie Hall Tower,24,757 ft,60,skyscraper,1991,
28,383 Madison Avenue,41,755 ft,47,skyscraper,2001,
29,Courtyard and Residence Inn Manhattan/Central Park,32,753 ft,68,skyscraper,2013,
30,AXA Center,19,752 ft,54,skyscraper,1986,
31,One Penn Plaza,34,750 ft,57,skyscraper,1972,
32,1251 Avenue of the Americas,17,750 ft,54,skyscraper,1971,
33,Time Warner Center South Tower,58,750 ft,55,skyscraper,2004,
34,Time Warner Center North Tower,57,750 ft,55,skyscraper,2004,
35,Goldman Sachs Headquarters,292,749 ft,44,skyscraper,2010,
36,60 Wall Street,25,745 ft,55,skyscraper,1989,
37,One Astor Plaza,21,745 ft,54,skyscraper,1972,
38,One Liberty Plaza,24,743 ft,54,skyscraper,1973,
39,20 Exchange Place,52,741 ft,57,skyscraper,1931,
40,Seven World Trade Center,226,741 ft,49,skyscraper,2006,
41,200 Vesey Street,35,739 ft,51,skyscraper,1986,
42,1540 Broadway,22,733 ft,42,skyscraper,1990,
43,Times Square Tower,70,726 ft,47,skyscraper,2004,
44,Metropolitan Tower,8,716 ft,68,skyscraper,1987,
45,One Hundred East Fifty Third Street,45,715 ft,61,skyscraper,2017,
46,JPMorgan Chase Tower,14,707 ft,52,skyscraper,1960,
47,General Motors Building,23,705 ft,50,skyscraper,1968,
48,Metropolitan Life Tower,62,700 ft,50,skyscraper,1909,
49,500 Fifth Avenue,51,697 ft,60,skyscraper,1931,
50,Verrazano-Narrows Bridge,4,693 ft,-,bridge,1964,
51,Americas Tower,11,692 ft,50,skyscraper,1992,
52,250 East 57th Street,19,689 ft,57,skyscraper,2017,
53,Solow Building,25,689 ft,50,skyscraper,1974,
54,HSBC Bank Building,17,688 ft,52,skyscraper,1967,
55,55 Water Street,35,687 ft,53,skyscraper,1972,
56,277 Park Avenue,11,687 ft,50,skyscraper,1962,
57,The Beekman Hotel & Residences,11,686 ft,47,skyscraper,2016,
58,1585 Broadway,16,685 ft,42,skyscraper,1989,
59,Random House Tower,46,684 ft,52,skyscraper,2003,
60,Four Seasons Hotel,19,682 ft,52,skyscraper,1993,
