#,Building,Images,Height,Floors,Building type,Year,Status
1,Transmission Tower,,"1,123 ft",-,mast (wired),-,
2,Transmission Tower,,"1,112 ft",-,mast (wired),-,
3,Transmission Tower,,"1,024 ft",-,mast (wired),-,
4,Comcast Center,83,974 ft,57,skyscraper,2008,
5,One Liberty Place,51,945 ft,61,skyscraper,1987,
6,Two Liberty Place,48,848 ft,58,skyscraper,1990,
7,BNY Mellon Center,32,792 ft,54,skyscraper,1990,
8,Three Logan Square,34,739 ft,55,skyscraper,1991,
9,FMC Tower at Cira Centre South,11,730 ft,47,skyscraper,2017,
10,"G. Fred DiBona, Jr. Building",27,625 ft,45,skyscraper,1990,
11,Two Commerce Square,12,565 ft,41,skyscraper,1992,
12,One Commerce Square,19,565 ft,41,skyscraper,1987,
13,Philadelphia City Hall,64,548 ft,9,building with towers,1901,
14,Residences at the Ritz-Carlton,13,518 ft,44,skyscraper,2009,
15,Transmission Tower,,508 ft,-,mast (wired),-,
16,1818 Market Street,20,500 ft,40,skyscraper,1974,
17,The St. James,172,498 ft,45,skyscraper,2004,
18,Loews Philadelphia Hotel,41,492 ft,36,skyscraper,1932,
19,1600 Market Street,10,491 ft,40,skyscraper,1983,
20,Centre Square II,10,490 ft,40,skyscraper,1973,
21,Five Penn Center,8,490 ft,36,skyscraper,1970,
22,The Murano,23,475 ft,42,skyscraper,2008,
23,One South Broad,12,472 ft,28,skyscraper,1932,
24,Cira Centre,142,437 ft,29,skyscraper,2005,
25,2000 Market Street,28,435 ft,29,skyscraper,1973,
26,Two Logan Square,23,435 ft,35,skyscraper,1987,
27,1700 Market,6,430 ft,32,skyscraper,1968,
28,Evo at Cira Centre South,2,427 ft,36,skyscraper,2014,
29,1835 Market Street,7,425 ft,29,skyscraper,1986,
30,Centre Square I,12,417 ft,32,skyscraper,1973,
31,Aramark Tower,21,412 ft,32,skyscraper,1984,
32,Wells Fargo Building,14,405 ft,29,skyscraper,1927,
33,One Logan Square,12,400 ft,31,skyscraper,1983,
34,10 Rittenhouse Square,4,396 ft,33,skyscraper,2009,
35,The Ritz-Carlton Philadelphia,13,394 ft,30,skyscraper,1930,
36,1500 Locust Street,8,390 ft,44,skyscraper,1973,
37,Aria,12,389 ft,33,skyscraper,1929,
38,PECO Building,15,384 ft,25,skyscraper,1970,
39,1650 Arch,16,384 ft,27,skyscraper,1975,
40,The Alexander,,382 ft,32,skyscraper,2018,
41,Benjamin Franklin Bridge,18,380 ft,-,bridge,1926,
42,500 Walnut,3,380 ft,26,skyscraper,2017,
43,Academy House,10,377 ft,37,skyscraper,1975,
44,The Drake,13,375 ft,33,skyscraper,1929,
45,Symphony House,8,375 ft,31,skyscraper,2007,
46,Roberts Center for Pediatric Research,2,375 ft,23,skyscraper,2017,
47,Penn Mutual Tower,11,375 ft,22,skyscraper,1975,
48,Medical Tower,15,364 ft,33,skyscraper,1931,
49,Hopkinson House,9,351 ft,35,skyscraper,1962,
50,Tower Place,7,351 ft,18,skyscraper,1958,
51,Residence Inn Philadelphia Center City,19,348 ft,24,skyscraper,1930,
52,Land Title & Trust Building Annex,9,344 ft,23,skyscraper,1902,
53,Inquirer Building,16,340 ft,18,skyscraper,1925,
54,Rittenhouse Dorchester Apartments,12,339 ft,32,skyscraper,1963,
55,2400 Chestnut Apartments,10,337 ft,34,skyscraper,1976,
56,The Grande,12,336 ft,25,skyscraper,1924,
57,Sheraton Philadelphia Center City Hotel,19,330 ft,26,skyscraper,1980,
58,Penn Center Suburban Station,14,330 ft,20,skyscraper,1929,
59,The Regatta,6,329 ft,29,skyscraper,2006,
60,One Penn Square West,4,325 ft,24,high-rise building,1986,
61,Edison Building,15,325 ft,23,high-rise building,1927,
62,1845 Walnut Street,10,320 ft,25,high-rise building,1972,
63,3601 Market,,320 ft,28,high-rise building,2015,
64,1525 Locust Street,7,315 ft,19,high-rise building,1990,
65,The Rittenhouse,11,314 ft,33,high-rise building,1989,
66,Hotel Palomar Philadelphia,14,313 ft,24,high-rise building,1931,
67,1500 Walnut Street,4,313 ft,23,high-rise building,1926,
68,Transmission Tower,,311 ft,-,mast (framework),-,
69,Icon,15,309 ft,25,high-rise building,1930,
70,Ten Penn Center,3,306 ft,28,high-rise building,1980,
71,Kennedy House,8,305 ft,29,high-rise building,1968,
72,Rittenhouse 222 Apartments,3,304 ft,27,high-rise building,1929,
73,James A. Byrne Courthouse,9,303 ft,26,high-rise building,1974,
74,United Plaza,6,302 ft,20,high-rise building,1976,
75,Penn Mutual Life Building,12,300 ft,20,high-rise building,1931,
76,1800 JFK Boulevard,4,299 ft,20,high-rise building,1983,
77,1880 JFK Boulevard,,299 ft,20,high-rise building,1985,
78,Wanamaker House,3,292 ft,32,high-rise building,1983,
79,Society Hill Towers III,7,292 ft,31,high-rise building,1964,
80,Society Hill Towers II,6,292 ft,31,high-rise building,1964,
81,Society Hill Towers I,6,292 ft,31,high-rise building,1964,
82,The Peninsula,5,289 ft,25,high-rise building,2006,
83,1528 Walnut Street,8,288 ft,22,high-rise building,1932,
84,U.S. Custom House,24,287 ft,17,high-rise building,1934,
85,1213 Walnut Street,,285 ft,26,high-rise building,2017,
86,Eight Penn Center,5,284 ft,23,high-rise building,1982,
87,Crowne Plaza Hotel Philadelphia,8,280 ft,25,high-rise building,1972,
88,Four Penn Center,3,279 ft,20,high-rise building,1964,
89,1930 Chestnut Street,7,278 ft,22,high-rise building,1929,
90,3737 Chestnut,,278 ft,25,high-rise building,2015,
91,The Sterling,8,275 ft,29,high-rise building,1960,
92,William Penn House,8,275 ft,28,high-rise building,1964,
93,The Atlantic Building,16,275 ft,21,high-rise building,1922,
94,Park Hyatt Philadelphia at the Bellevue,5,273 ft,19,high-rise building,1904,
95,GlaxoSmithKline Building,21,272 ft,24,high-rise building,1980,
96,1500 Walnut Annex,3,272 ft,21,high-rise building,1963,
97,Two Penn Center,10,271 ft,20,high-rise building,1958,
98,Center City One,9,270 ft,30,high-rise building,1974,
99,Three Penn Center,9,270 ft,20,high-rise building,1958,
100,Wanamaker Building,9,270 ft,15,high-rise building,1910,
101,Seven Penn Center,2,269 ft,21,high-rise building,-,
102,Embassy Suites Philadelphia Center City,8,267 ft,27,high-rise building,1964,
103,North American Building,8,267 ft,21,high-rise building,1900,
104,Three Parkway,9,267 ft,20,high-rise building,1969,
105,Municipal Services Building,16,265 ft,16,high-rise building,1963,
106,The Barclay,10,264 ft,22,high-rise building,1928,
107,The Chancellor Apartments,9,263 ft,24,high-rise building,1928,
108,DoubleTree Hotel,9,260 ft,25,high-rise building,1983,
109,Widener Building,5,260 ft,19,high-rise building,1914,
110,One Parkway,18,258 ft,18,high-rise building,1962,
111,Transmission Tower,,254 ft,-,mast (framework),-,
112,Hilton Philadelphia at Penn&#039;s Landing,12,250 ft,22,high-rise building,2000,
113,230 South Broad Street,2,250 ft,21,high-rise building,1922,
114,Adelphia House,10,250 ft,20,high-rise building,1914,
115,1631 Arch Street,9,249 ft,17,high-rise building,1915,
116,The Reef,1,249 ft,21,high-rise building,2009,
117,Transmission Tower,,248 ft,-,mast (framework),-,
118,Philadelphia Marriott Downtown,3,242 ft,23,high-rise building,1995,
119,The Rittenhouse Claridge,7,241 ft,25,high-rise building,1951,
120,Courtyard Philadelphia Downtown,9,235 ft,16,high-rise building,1926,
121,1312-1314 Chestnut Street,7,232 ft,15,high-rise building,1924,
