#,Building,Images,Height,Floors,Building type,Year,Status
1,Salesforce Tower,1,"1,070 ft",61,skyscraper,2018,
2,Sutro Tower,4,981 ft,-,mast (framework),1972,
3,Transamerica Pyramid,82,853 ft,48,skyscraper,1972,
4,555 California Street,51,779 ft,52,skyscraper,1969,
5,Golden Gate Bridge,82,746 ft,-,bridge,1937,
6,345 California Center,24,724 ft,48,skyscraper,1986,
7,Millennium Tower,42,645 ft,58,skyscraper,2009,
8,"One Rincon Hill, South Tower",25,605 ft,54,skyscraper,2008,
9,101 California Street,21,600 ft,48,skyscraper,1982,
10,50 Fremont Center,10,600 ft,43,skyscraper,1985,
11,Chevron Tower,3,573 ft,40,skyscraper,1975,
12,Four Embarcadero Center,28,570 ft,45,skyscraper,1982,
13,One Embarcadero Center,25,569 ft,45,skyscraper,1971,
14,44 Montgomery,12,565 ft,43,skyscraper,1967,
15,Spear Tower,9,564 ft,43,skyscraper,1976,
16,One Sansome Street,7,551 ft,43,skyscraper,1984,
17,Shaklee Terraces,14,538 ft,38,skyscraper,1979,
18,First Market Tower,18,529 ft,39,skyscraper,1973,
19,McKesson Plaza,9,529 ft,38,skyscraper,1969,
20,Bay Bridge,52,526 ft,-,bridge,1936,
21,425 Market Street,9,525 ft,38,skyscraper,1973,
22,Montgomery Tower,11,500 ft,38,skyscraper,1982,
23,"One Rincon Hill, North Tower",2,495 ft,45,skyscraper,2014,
24,333 Bush Street,5,495 ft,43,skyscraper,1986,
25,Hilton San Francisco Union Square,8,493 ft,46,skyscraper,1971,
26,Pacific Gas & Electric Building,3,492 ft,34,skyscraper,1971,
27,50 California Street,11,487 ft,37,skyscraper,1972,
28,555 Mission Street,21,487 ft,33,skyscraper,2008,
29,St. Regis San Francisco,36,484 ft,42,skyscraper,2005,
30,100 Pine Center,3,476 ft,33,skyscraper,1972,
31,45 Fremont Center,8,476 ft,34,skyscraper,1978,
32,333 Market Street,8,472 ft,33,skyscraper,1979,
33,650 California Street,22,466 ft,34,skyscraper,1964,
34,"The Infinity, Phase II",31,450 ft,41,skyscraper,2009,
35,100 First Plaza,10,447 ft,27,skyscraper,1988,
36,399 Fremont Street,,440 ft,42,skyscraper,2016,
37,One California,22,438 ft,32,skyscraper,1969,
38,San Francisco Marriott,14,436 ft,39,skyscraper,1989,
39,140 New Montgomery Street,10,435 ft,26,skyscraper,1925,
40,Russ Building,24,435 ft,32,skyscraper,1927,
41,340 Fremont Street,,430 ft,40,skyscraper,2016,
42,JPMorgan Chase Building,9,420 ft,31,skyscraper,2002,
43,The Paramount,10,420 ft,40,skyscraper,2002,
44,Providian Financial Building,6,417 ft,30,skyscraper,1981,
45,Three Embarcadero Center,16,413 ft,31,skyscraper,1977,
46,Two Embarcadero Center,11,413 ft,30,skyscraper,1974,
47,595 Market Street,5,410 ft,30,skyscraper,1979,
48,123 Mission Street,3,407 ft,29,skyscraper,1986,
49,Embarcadero West,3,404 ft,34,skyscraper,1989,
50,101 Montgomery,2,404 ft,28,skyscraper,1984,
51,Lumina I,,400 ft,42,skyscraper,2015,
52,Jasper,1,400 ft,39,skyscraper,2015,
53,100 Van Ness,8,400 ft,29,skyscraper,1974,
54,Four Seasons Hotel,21,398 ft,40,skyscraper,2001,
55,One Maritime Plaza,10,398 ft,27,skyscraper,1964,
56,The Westin St. Francis Tower,6,394 ft,32,skyscraper,1972,
57,Shell Building,9,378 ft,29,skyscraper,1929,
58,535 Mission Street,1,378 ft,27,skyscraper,2014,
59,350 Mission Street,,374 ft,27,skyscraper,2015,
60,Westin San Francisco -- Market Street,6,374 ft,34,skyscraper,1984,
61,222 Second Street,,370 ft,26,skyscraper,2016,
62,Hilton Financial District,8,364 ft,30,skyscraper,1971,
63,Steuart Tower,6,364 ft,27,skyscraper,1976,
64,199 Fremont Street,3,364 ft,27,skyscraper,2000,
65,425 California Street,3,358 ft,26,skyscraper,1968,
66,Grand Hyatt San Francisco,15,354 ft,35,skyscraper,1972,
67,Archstone Fox Plaza,1,354 ft,29,skyscraper,1966,
68,100 Montgomery,,354 ft,25,skyscraper,1955,
69,101 Second Street,16,354 ft,26,skyscraper,1999,
70,NeMa North Tower,,352 ft,37,skyscraper,2014,
71,601 California,12,351 ft,22,skyscraper,1961,
72,580 California,8,351 ft,23,skyscraper,1987,
73,"The Infinity, Phase I",6,350 ft,37,skyscraper,2008,
74,Lumina II,,350 ft,37,skyscraper,2015,
75,Hilton San Francisco & Towers II,1,348 ft,22,skyscraper,1987,
76,450 Sutter,3,344 ft,26,skyscraper,1929,
77,InterContinental San Francisco,12,340 ft,32,skyscraper,2008,
78,Stevenson Place,2,338 ft,28,skyscraper,1987,
79,55 Second Street,5,330 ft,25,skyscraper,2002,
80,150 California,8,330 ft,24,skyscraper,2000,
81,505 Montgomery,9,328 ft,24,skyscraper,1988,
82,Bechtel Building,1,328 ft,23,skyscraper,1967,
83,225 Bush Street,1,328 ft,22,high-rise building,1922,
84,Fairmont Hotel Tower,9,325 ft,29,high-rise building,1962,
85,California Building,1,325 ft,23,high-rise building,1977,
86,180 Montgomery Street,3,322 ft,24,high-rise building,1979,
87,Central Plaza,1,318 ft,23,high-rise building,1987,
88,W Hotel,19,315 ft,33,high-rise building,1999,
89,The Summit,8,315 ft,32,high-rise building,1965,
90,Sir Francis Drake Hotel,8,315 ft,22,high-rise building,1928,
91,San Francisco Marriott Union Square,1,312 ft,29,high-rise building,1972,
92,Ritz-Carlton Club and Residences,11,312 ft,24,high-rise building,1889,
93,Bank of California Building,2,312 ft,22,high-rise building,1967,
94,Philip Burton Federal Building,1,312 ft,21,high-rise building,1959,
95,353 Sacramento,,312 ft,23,high-rise building,1982,
96,555 Market Street,2,311 ft,22,high-rise building,1964,
97,88 Kearny Street,4,309 ft,22,high-rise building,1986,
98,McAllister Tower Apartments,2,308 ft,28,high-rise building,1929,
99,388 Market,9,308 ft,24,high-rise building,1987,
100,Hunter-Dulin Building,11,308 ft,22,high-rise building,1926,
101,One Bush Plaza,8,308 ft,20,high-rise building,1959,
102,Commercial Union Assurance Building,4,308 ft,16,high-rise building,1921,
103,San Francisco City Hall,26,308 ft,4,monumental hall,1915,
104,Insurance Center Building,1,305 ft,19,high-rise building,1967,
105,The Mark Hopkins Hotel,16,305 ft,20,high-rise building,1926,
106,Mills Tower,3,302 ft,22,high-rise building,1931,
