#,Building,Images,Height,Floors,Building type,Year,Status
1,Columbia Center,58,937 ft,76,skyscraper,1985,
2,1201 Third Avenue Tower,60,772 ft,55,skyscraper,1988,
3,Two Union Square,56,740 ft,56,skyscraper,1989,
4,Seattle Municipal Tower,30,722 ft,57,skyscraper,1990,
5,KTWB-TV Tower,,682 ft,-,telecommunications tower,1979,
6,F5 Tower,1,660 ft,43,skyscraper,2017,
7,KSTW-TV Tower,,637 ft,-,telecommunications tower,1979,
8,Safeco Plaza,17,630 ft,50,skyscraper,1969,
9,KIRO-TV Tower,,609 ft,-,telecommunications tower,1958,
10,City Centre,55,606 ft,44,skyscraper,1989,
11,Space Needle,104,605 ft,6,observation tower,1962,
12,Russell Investments Center,34,598 ft,42,skyscraper,2006,
13,KCTS-TV Tower,,594 ft,-,telecommunications tower,1965,
14,Wells Fargo Center,16,574 ft,47,skyscraper,1983,
15,KING-TV Tower,,570 ft,-,telecommunications tower,1952,
16,KOMO-TV Tower,,564 ft,-,telecommunications tower,1952,
17,Madison Centre,1,560 ft,37,skyscraper,2017,
18,Bank of America Fifth Avenue Plaza,15,543 ft,42,skyscraper,1981,
19,901 Fifth Avenue,19,543 ft,42,skyscraper,1973,
20,Doppler,2,524 ft,37,skyscraper,2015,
21,Day One,3,521 ft,37,skyscraper,2016,
22,Rainier Tower,32,514 ft,31,skyscraper,1977,
23,Fourth and Madison Building,139,512 ft,40,skyscraper,2002,
24,1918 Eighth Avenue,6,500 ft,36,skyscraper,2009,
25,Qwest Plaza,10,498 ft,33,skyscraper,1976,
26,1000 Second Avenue,24,493 ft,43,skyscraper,1987,
27,Henry M. Jackson Federal Building,16,487 ft,37,skyscraper,1974,
28,Smith Tower,65,462 ft,36,skyscraper,1914,
29,One Union Square,20,456 ft,36,skyscraper,1981,
30,Olive 8,13,455 ft,39,skyscraper,2009,
31,Eleven-Eleven Third Avenue,11,454 ft,34,skyscraper,1980,
32,Westin Seattle North Tower,27,449 ft,47,skyscraper,1982,
33,McKenzie Apartments,,446 ft,39,skyscraper,2018,
34,Fifteen Twenty-One Second Avenue,15,440 ft,38,skyscraper,2008,
35,Premiere on Pine,,440 ft,42,skyscraper,2015,
36,Stratus,,440 ft,41,skyscraper,2017,
37,Insignia North Tower,1,440 ft,41,skyscraper,2016,
38,Insignia South Tower,,440 ft,41,skyscraper,2015,
39,Kinects,,440 ft,39,skyscraper,2017,
40,West Edge Tower,,440 ft,39,skyscraper,2017,
41,Helios,,440 ft,39,skyscraper,2017,
42,Cirrus,,440 ft,39,skyscraper,2015,
43,AMLI Arc Tower,,436 ft,39,skyscraper,2017,
44,Westin Building,6,409 ft,34,skyscraper,1981,
45,Aspira,7,400 ft,37,skyscraper,2009,
46,Westin Seattle South Tower,20,397 ft,40,skyscraper,1969,
47,Tower 12,,392 ft,34,skyscraper,2017,
48,United States Federal Courthouse,32,390 ft,23,skyscraper,2004,
49,Financial Center,5,389 ft,28,skyscraper,1972,
50,Century Square,42,381 ft,30,skyscraper,1986,
51,Sheraton Seattle Hotel,14,371 ft,34,skyscraper,1982,
52,520 Pike Tower,8,360 ft,29,skyscraper,1983,
